CELL, rnc, site, sec, maxpwr(rnc), zaresmoc(rbs), zaresmoc+kabel+asc, pilot, kabel, pilot+kabel, rbsid, asc, ret, maxtilt, tilt, mechanical, bazna, sect, antena
AMSCA 11 AMSC 1 398 394 394 220 0 222 1 0 0 100 0 0 RBS3202 S1C1 1
AMSCB 11 AMSC 2 429 425 425 220 0 222 1 0 0 100 0 0 RBS3202 S2C1 1
AMSCD 11 AMSC 1 398 394 394 220 0 222 1 0 0 100 0 0 RBS3202 S1C2 1
AMSCX 11 AMSC 1 398 394 394 220 0 222 1 0 0 100 0 0 RBS3202 S1C2 1
CARJAA 11 CARJA 1 401 397 423 282 26 310 128 1 0 60 0 0 RBS3202 S1C1 3
CARJAB 11 CARJA 2 409 405 431 292 26 320 128 1 0 60 0 0 RBS3202 S2C1 3
CATOMA 11 CATOM 1 400 396 423 281 27 310 36 1 0 60 0 0 RBS3202 S1C1 5
CATOMB 11 CATOM 2 400 396 423 281 27 310 36 1 0 60 0 0 RBS3202 S2C1 5
CDECKOA 11 CDECKO 1 415 411 428 281 17 300 211 1 1 80 20 0 RBS3206M S1C1 2
CDECKOB 11 CDECKO 2 415 411 428 261 17 280 211 1 1 80 20 0 RBS3206M S2C1 2
CDECKOC 11 CDECKO 3 415 411 428 281 17 300 211 1 1 80 20 0 RBS3206M S3C1 2
CDECKOD 11 CDECKO 1 415 411 428 281 17 300 211 1 1 80 20 0 RBS3206M S1C2 2
CDECKOE 11 CDECKO 2 415 411 428 261 17 280 211 1 1 80 20 0 RBS3206M S2C2 2
CDECKOF 11 CDECKO 3 415 411 428 281 17 300 211 1 1 80 20 0 RBS3206M S3C2 2
CDOBRA 11 CDOBR 1 391 387 423 272 36 310 51 1 0 60 0 0 RBS3202 S1C1 3
CDOBRB 11 CDOBR 2 391 387 423 272 36 310 51 1 0 60 0 0 RBS3202 S2C1 3
CDOBRC 11 CDOBR 3 391 387 423 272 36 310 51 1 0 60 0 0 RBS3202 S3C1 3
CDRAMA 11 CDRAM 1 409 405 423 280 18 300 100 1 0 60 0 0 RBS3202 S1C1 5
CDRAMB 11 CDRAM 2 409 405 423 290 18 310 100 1 0 60 0 0 RBS3202 S2C1 5
CEAMZSA 11 CEAMZS 1 397 393 423 258 30 290 57 1 1 80 20 0 RBS3202 S1C1 2
