CELL, rnc, site, sec, maxpwr(rnc), zaresmoc(rbs), zaresmoc+kabel+asc, pilot, kabel, pilot+kabel, rbsid, asc, ret, maxtilt, tilt, mechanical, bazna, sect, antena
MKOTLA 11 MKOTL 1 403 399 423 284 24 310 62 1 0 80 0 0 RBS3202 S1C1 2
MKOTLB 11 MKOTL 2 403 399 423 284 24 310 62 1 0 80 0 0 RBS3202 S2C1 2
MKOTLC 11 MKOTL 3 403 399 423 284 24 310 62 1 0 80 0 0 RBS3202 S3C1 2
MPREVA 11 MPREV 1 400 396 423 281 27 310 44 1 0 80 0 0 RBS3202 S1C1 2
MPREVB 11 MPREV 2 400 396 423 281 27 310 44 1 0 80 0 0 RBS3202 S2C1 2
MRAVNEA 11 MRAVNE 1 411 407 428 287 21 310 42 1 0 60 0 0 RBS3206 S1C1 5
MRAVNEB 11 MRAVNE 2 411 407 428 287 21 310 42 1 0 80 0 0 RBS3206 S2C1 2
MRAVNEC 11 MRAVNE 3 411 407 428 277 21 300 42 1 0 60 0 0 RBS3206 S3C1 3
MRAVNED 11 MRAVNE 1 411 407 428 292 21 315 42 1 0 60 0 0 RBS3206 S1C2 5
MRAVNEE 11 MRAVNE 2 411 407 428 292 21 315 42 1 0 80 0 0 RBS3206 S2C2 2
MRAVNEF 11 MRAVNE 3 411 407 428 287 21 310 42 1 0 60 0 0 RBS3206 S3C2 3
MSGRAA 11 MSGRA 1 397 393 428 273 35 310 165 1 1 80 0 0 RBS3206 S1C1 2
MSGRAB 11 MSGRA 2 397 393 428 273 35 310 165 1 1 80 0 0 RBS3206 S2C1 2
MSGRAC 11 MSGRA 3 397 393 428 273 35 310 165 1 1 80 0 0 RBS3206 S3C1 2
MSGRAD 11 MSGRA 1 397 393 428 278 35 315 165 1 1 80 0 0 RBS3206 S1C2 2
MSGRAE 11 MSGRA 2 397 393 428 278 35 315 165 1 1 80 0 0 RBS3206 S2C2 2
MSGRAF 11 MSGRA 3 397 393 428 278 35 315 165 1 1 80 0 0 RBS3206 S3C2 2
MSGRADA 11 MSGRAD 1 404 400 423 285 23 310 142 1 1 60 0 0 RBS3202 S1C1 3
MSGRADB 11 MSGRAD 2 404 400 423 285 23 310 142 1 1 60 0 0 RBS3202 S2C1 3
MSGRADC 11 MSGRAD 3 404 400 423 285 23 310 142 1 1 60 0 0 RBS3202 S3C1 3
