cell rnc site sec maxpwr(rnc) zaresmoc(rbs) zaresmoc+kabel+asc pilot kabel pilot+kabel rbsid asc ret maxtilt tilt mechanical bazna sect antena pildbpa
ABEZIA 21 ABEZI 1 412 408 425 263 17 280 186 0 0 100 0 0 RBS3202 S1C1 1 145
ABEZIB 21 ABEZI 2 412 408 425 273 17 290 186 0 0 100 0 0 RBS3202 S2C1 1 135
ABEZIC 21 ABEZI 3 412 408 425 273 17 290 186 0 0 100 0 0 RBS3202 S3C1 1 135
ABEZITA 21 ABEZIT 1 416 412 430 282 16 300 166 1 1 60 30 0 RBS3216 S1C1 3 130
ABEZITB 21 ABEZIT 2 416 412 430 282 16 300 166 1 1 60 30 0 RBS3216 S2C1 3 130
ABEZITC 21 ABEZIT 3 415 411 430 291 17 310 166 1 1 60 30 0 RBS3216 S3C1 5 120
ABEZITD 21 ABEZIT 1 416 412 430 292 16 310 166 1 1 60 30 0 RBS3216 S1C2 3 120
ABEZITE 21 ABEZIT 2 416 412 430 292 16 310 166 1 1 60 30 0 RBS3216 S2C2 3 120
ABEZITF 21 ABEZIT 3 415 411 430 296 17 315 166 1 1 60 30 0 RBS3216 S3C2 5 115
ABIZOVA 21 ABIZOV 1 402 398 431 267 31 300 17 1 1 80 40 0 RBS3202 S1C1 2 131
ABIZOVB 21 ABIZOV 2 402 398 431 267 31 300 17 1 0 80 0 0 RBS3202 S2C1 2 131
ABIZOVC 21 ABIZOV 3 401 397 431 266 32 300 17 1 1 80 40 0 RBS3202 S3C1 2 131
ABOKALA 21 ABOKAL 1 396 392 430 262 36 300 46 1 1 80 30 0 RBS6201V2W S1C1 2 130
ABOKALB 21 ABOKAL 2 396 392 430 262 36 300 46 1 1 80 50 0 RBS6201V2W S2C1 2 130
ABOKALC 21 ABOKAL 3 396 392 430 262 36 300 46 1 0 80 0 0 RBS6201V2W S3C1 2 130
ABOKALD 21 ABOKAL 1 396 392 430 262 36 300 46 1 1 80 30 0 RBS6201V2W S1C2 2 130
ABOKALE 21 ABOKAL 2 396 392 430 262 36 300 46 1 1 80 50 0 RBS6201V2W S2C2 2 130
ABOKALF 21 ABOKAL 3 396 392 430 262 36 300 46 1 0 80 0 0 RBS6201V2W S3C2 2 130
ABRDOA 21 ABRDO 1 407 403 431 262 26 290 271 1 1 80 40 0 RBS3202 S1C1 2 141
