cell rnc site sec maxpwr(rnc) zaresmoc(rbs) zaresmoc+kabel+asc pilot kabel pilot+kabel rbsid asc ret maxtilt tilt mechanical bazna sect antena pildbpa
CGBRIA 11 CGBRI 1 401 397 425 272 26 300 5 1 1 80 20 0 RBS3202 S1C1 2 125
CGBRIB 11 CGBRI 2 401 397 425 272 26 300 5 1 1 80 0 0 RBS3202 S2C1 2 125
CGBRIC 11 CGBRI 3 401 397 425 272 26 300 5 1 1 80 10 0 RBS3202 S3C1 2 125
CTOPOLA 11 CTOPOL 1 406 402 431 271 27 300 215 1 1 60 60 0 RBS3202 S1C1 3 131
CVELCEA 11 CVELCE 1 382 378 425 253 45 300 78 1 1 80 50 0 RBS3202 S1C1 2 125
CVELCEB 11 CVELCE 2 381 377 425 252 46 300 78 1 1 80 20 0 RBS3202 S2C1 2 125
CVELEA 11 CVELE 1 400 396 425 261 27 290 2 1 1 80 50 0 RBS3202 S1C1 2 135
CVELEB 11 CVELE 2 400 396 425 270 27 299 2 1 1 80 10 0 RBS3202 S2C1 2 126
CVELEC 11 CVELE 3 400 396 425 261 27 290 2 1 1 80 50 0 RBS3202 S3C1 2 135
CVELEMA 11 CVELEM 1 394 390 425 265 33 300 4 1 1 80 20 0 RBS3202 S1C1 2 125
CVELEMB 11 CVELEM 2 393 389 424 265 33 300 4 1 1 80 0 0 RBS3202 S2C1 2 124
CVELEMC 11 CVELEM 3 394 390 425 265 33 300 4 1 1 80 0 0 RBS3202 S3C1 2 125
CVELGDA 11 CVELGD 1 407 403 425 278 20 300 74 1 1 80 20 0 RBS3202 S1C1 2 125
CVELGDB 11 CVELGD 2 407 403 425 288 20 310 74 1 1 80 0 0 RBS3202 S2C1 2 115
CVELGDC 11 CVELGD 3 407 403 425 268 20 290 74 1 1 80 30 0 RBS3202 S3C1 2 135
CVELSAA 11 CVELSA 1 398 394 425 279 29 310 338 1 1 60 50 0 RBS3202 S1C1 5 115
CVELSAB 11 CVELSA 2 398 394 425 279 29 310 338 1 1 60 40 0 RBS3202 S2C1 5 115
CVELTUA 11 CVELTU 1 403 399 425 274 24 300 307 1 1 60 30 0 RBS3202 S1C1 3 125
CVELTUB 11 CVELTU 2 403 399 425 274 24 300 307 1 1 60 40 0 RBS3202 S2C1 3 125
CVELTUC 11 CVELTU 3 403 399 425 274 24 300 307 1 1 60 30 0 RBS3202 S3C1 3 125
CVESPAA 11 CVESPA 1 404 399 400 299 1 300 217 0 0 60 0 0 RBS3412 S1C1 3 100
CVESPAB 11 CVESPA 2 404 399 400 299 1 300 217 0 0 60 0 0 RBS3412 S2C1 3 100
CVESPAC 11 CVESPA 3 404 399 400 299 1 300 217 0 0 60 0 0 RBS3412 S3C1 3 100
CVINCEA 11 CVINCE 1 409 405 431 294 24 320 339 1 0 60 0 0 RBS3202 S1C1 5 111
CVINCEB 11 CVINCE 2 409 405 431 294 24 320 339 1 0 60 0 0 RBS3202 S2C1 5 111
